gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3773378518	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/195306033/original.jpg	https://www.inaturalist.org/photos/195306033					2022-05-02T17:34:10Z	Raoulco		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Raoulco
3773340059	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/194275003/original.jpeg	https://www.inaturalist.org/photos/194275003					2022-04-30T18:50:25Z	Juan-Pierre De Breuyn		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Juan-Pierre De Breuyn
3773334703	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/193014886/original.jpeg	https://www.inaturalist.org/photos/193014886					2022-04-30T22:56:19Z	Chelsea van Rensburg		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Chelsea van Rensburg
3773192825	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/195855157/original.jpg	https://www.inaturalist.org/photos/195855157					2015-01-01T18:54:32Z	Andrea Schnetler		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Andrea Schnetler
3773192825	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/195855164/original.jpg	https://www.inaturalist.org/photos/195855164					2015-01-01T18:54:32Z	Andrea Schnetler		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Andrea Schnetler
3773192825	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/195855174/original.jpg	https://www.inaturalist.org/photos/195855174					2015-01-01T18:54:32Z	Andrea Schnetler		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Andrea Schnetler
3773192825	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/195855185/original.jpg	https://www.inaturalist.org/photos/195855185					2015-01-01T18:54:32Z	Andrea Schnetler		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Andrea Schnetler
3773137201	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/194390908/original.jpg	https://www.inaturalist.org/photos/194390908					2022-04-30T18:28:32Z	carel van der Colff		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	carel van der Colff
3772972316	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/193014592/original.jpeg	https://www.inaturalist.org/photos/193014592					2022-04-30T22:54:27Z	Chelsea van Rensburg		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Chelsea van Rensburg
3772737714	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/191533224/original.jpeg	https://www.inaturalist.org/photos/191533224					2022-04-29T16:43:36Z	Jess Dawson		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Jess Dawson
3772737714	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/191533261/original.jpeg	https://www.inaturalist.org/photos/191533261					2022-04-29T16:42:34Z	Jess Dawson		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Jess Dawson
3772737714	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/191533192/original.jpeg	https://www.inaturalist.org/photos/191533192					2022-04-29T16:42:29Z	Jess Dawson		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Jess Dawson
3772702857	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/191733162/original.jpeg	https://www.inaturalist.org/photos/191733162					2022-04-29T19:53:06Z	Wilhelm van Zyl		iNaturalist	http://creativecommons.org/licenses/by-sa/4.0/	Wilhelm van Zyl
3772528606	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/193877382/original.jpeg	https://www.inaturalist.org/photos/193877382					2022-04-30T21:34:35Z	alisonbeere		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	alisonbeere
3760226589	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/189277000/original.jpeg	https://www.inaturalist.org/photos/189277000					2022-04-20T05:12:04Z	George Manavopoulos		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	George Manavopoulos
3760226589	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/189276820/original.jpeg	https://www.inaturalist.org/photos/189276820					2022-04-20T05:09:11Z	George Manavopoulos		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	George Manavopoulos
3760226589	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/189276891/original.jpeg	https://www.inaturalist.org/photos/189276891					2022-04-20T05:10:46Z	George Manavopoulos		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	George Manavopoulos
3760226589	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/189277059/original.jpeg	https://www.inaturalist.org/photos/189277059					2022-04-20T05:17:31Z	George Manavopoulos		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	George Manavopoulos
3759875513	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/118612411/original.jpeg	https://www.inaturalist.org/photos/118612411					2021-04-03T05:49:34Z	anasacuta		iNaturalist	http://creativecommons.org/licenses/by/4.0/	anasacuta
3759875513	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/118612487/original.jpeg	https://www.inaturalist.org/photos/118612487					2021-04-03T05:50:02Z	anasacuta		iNaturalist	http://creativecommons.org/licenses/by/4.0/	anasacuta
3759554598	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/185676583/original.jpg	https://www.inaturalist.org/photos/185676583					2022-03-19T03:35:34Z	Sarah David		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sarah David
3759554598	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/185676620/original.jpg	https://www.inaturalist.org/photos/185676620					2022-03-19T03:35:45Z	Sarah David		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sarah David
3759554598	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/185676597/original.jpg	https://www.inaturalist.org/photos/185676597					2022-03-19T03:35:38Z	Sarah David		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sarah David
3759240249	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/186848511/original.jpeg	https://www.inaturalist.org/photos/186848511					2022-02-13T19:54:37Z	Stefan Pav		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Stefan Pav
3759240249	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/186848502/original.jpg	https://www.inaturalist.org/photos/186848502					2022-02-13T19:54:37Z	Stefan Pav		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Stefan Pav
3743169350	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/105169329/original.jpg	https://www.inaturalist.org/photos/105169329					2020-11-17T08:09:33Z	bianca_t		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	bianca_t
3743169350	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/105167364/original.jpg	https://www.inaturalist.org/photos/105167364					2020-11-17T08:08:41Z	bianca_t		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	bianca_t
3743169350	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/105167378/original.jpg	https://www.inaturalist.org/photos/105167378					2020-11-17T08:10:03Z	bianca_t		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	bianca_t
3743169350	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/105167352/original.jpg	https://www.inaturalist.org/photos/105167352					2020-11-17T08:07:02Z	bianca_t		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	bianca_t
